GetEconomicData {Retail Sales Excluding Food Services | Series}
GetEconomicData tell me about {Federal government consumer credit student loans | Series}
GetEconomicData tell me about {Real Gross Domestic Product | Series}
GetEconomicData tell me about {Gross Domestic Product | Series}
GetEconomicData tell me about {Personal Saving Rate | Series}
GetEconomicData tell me about {Personal Consumption Expenditures | Series}
GetEconomicData tell me about {Net Interest Margin for all US Banks | Series}
GetEconomicData tell me about {Commercial Banks in the US | Series}
GetEconomicData tell me about {Return on Average Assets for all US Banks | Series}
GetEconomicData tell me about {Total Population All Ages including Armed Forces Overseas | Series}
GetEconomicData tell me about {National Population | Series}
GetEconomicData tell me about {MZM Money Stock | Series}
GetEconomicData tell me about {MZM Own Rate | Series}
GetEconomicData tell me about {MZM Money Stock | Series}
GetEconomicData tell me about {Monetary Services Index M Two | Series}
GetEconomicData tell me about {Monetary Services Index M One | Series}
GetEconomicData tell me about {M Two Plus Institutional Type Money Market Mutual Funds | Series}
GetEconomicData tell me about {M Two Less Small Time Deposits | Series}
GetEconomicData tell me about {M Two Minus Own Rate | Series}
GetEconomicData tell me about {M Two Less Small Time Deposits | Series}
GetEconomicData tell me about {St Louis Adjusted Monetary Base | Series}
GetEconomicData tell me about {St Louis Adjusted Reserves | Series}
GetEconomicData tell me about {M One Money Multiplier | Series}
GetEconomicData tell me about {Reserve Adjustment Magnitude | Series}
GetEconomicData tell me about {RAM | Series}
GetEconomicData tell me about {Total Public Debt | Series}
GetEconomicData tell me about {Federal Debt Held by Federal Reserve Banks | Series}
GetEconomicData tell me about {Federal Debt Held by the Public | Series}
GetEconomicData tell me about {Federal Surplus | Series}
GetEconomicData tell me about {Federal Deficit | Series}
GetEconomicData tell me about {Gross Domestic Product | Series}
GetEconomicData tell me about {Federal Outlays Interest | Series}
GetEconomicData tell me about {Gross Federal Debt | Series}
GetEconomicData tell me about {Gross Federal Debt Held by the Public | Series}
GetEconomicData tell me about {Commercial Paper Outstanding | Series}
GetEconomicData tell me about {Asset backed Commercial Paper Outstanding | Series}
GetEconomicData tell me about {Ninety Day AA Nonfinancial Commercial Paper Interest Rate | Series}
GetEconomicData tell me about {Household Debt Service Payments as a Percent of Disposable Personal Income | Series}
GetEconomicData tell me about {Consumer Debt Service Payments as a Percent of Disposable Personal Income | Series}
GetEconomicData tell me about {Consumer Sentiment | Series}
GetEconomicData tell me about {Inflation Expectation | Series}
GetEconomicData tell me about {Real Retail and Food Services Sales | Series}
GetEconomicData tell me about {Light Weight Vehicle Sales | Series}
GetEconomicData tell me about {Total Vehicle Sales | Series}
GetEconomicData tell me about {Auto Inventory Sales Ratio | Series}
GetEconomicData tell me about {Manufacturers New Orders Durable Goods | Series}
GetEconomicData tell me about {ManufacturerS New Orders Nondefense Capital | Series}
GetEconomicData tell me about {Value of Manufacturers' New Orders for All Manufacturing Industries | Series}
GetEconomicData tell me about {Median Sales Price for New Houses Sold in the United States | Series}
GetEconomicData tell me about {Monthly Supply of Houses in the United States | Series}
GetEconomicData tell me about {New One Family Houses Sold United States | Series}
GetEconomicData tell me about {Real Potential Gross Domestic Product | Series}
GetEconomicData tell me about {Natural Rate of Unemployment | Series}
GetEconomicData tell me about {Nominal Potential Gross Domestic Product | Series}
GetEconomicData tell me about {Eighth District Flexible Rate on Seasonal Credit | Series}
GetEconomicData tell me about {Federal Funds Target Range Upper Limit | Series}
GetEconomicData tell me about {Federal Funds Target Range Lower Limit | Series}
GetEconomicData tell me about {Primary Credit Rate for the Eighth District | Series}
GetEconomicData tell me about {St Louis Source Base | Series}
GetEconomicData tell me about {M Two Own Rate | Series}
GetEconomicData tell me about {Manufacturing Sector Multifactor Productivity | Series}
GetEconomicData tell me about {Private Non Farm Business Sector Multifactor Productivity | Series}
GetEconomicData tell me about {Private Business Sector Multifactor Productivity | Series}
GetEconomicData tell me about {Coincident Economic Activity Index for the United States | Series}
GetEconomicData tell me about {Coincident Economic Activity Index for California | Series}
GetEconomicData tell me about {Coincident Economic Activity Index for Wisconsin | Series}
GetEconomicData tell me about {Per Capita Personal Income in Tennessee | Series}
GetEconomicData tell me about {Per Capita Personal Income in Mississippi | Series}
GetEconomicData tell me about {Per Capita Personal Income in Kentucky | Series}
GetEconomicData tell me about {Resident Population in Louisville Jefferson County | Series}
GetEconomicData tell me about {Resident Population in St Louis | Series}
GetEconomicData tell me about {Resident Population in Texarkana | Series}
GetEconomicData tell me about {Unemployment Rate in California | Series}
GetEconomicData tell me about {Unemployment Rate in Florida | Series}
GetEconomicData tell me about {Unemployment Rate in Texas | Series}
GetEconomicData tell me about {Unemployment Rate in Seattle Tacoma Bellevue | Series}
GetEconomicData tell me about {Unemployment Rate in Houston The Woodlands Sugar Land | Series}
GetEconomicData tell me about {Unemployment Rate in Chicago Naperville Elgin | Series}
GetEconomicData tell me about {Unemployment Rate in Los Angeles County | Series}
GetEconomicData tell me about {Unemployment Rate in San Francisco County | Series}
GetEconomicData tell me about {Unemployment Rate in Miami Dade County | Series}
GetEconomicData tell me about {Resident Population in the Southwest | Series}
GetEconomicData tell me about {Resident Population in the Rocky Mountain | Series}
GetEconomicData tell me about {Resident Population in the New England Census Division | Series}
GetEconomicData tell me about {Resident Population in Los Angeles County | Series}
GetEconomicData tell me about {Resident Population in San Francisco County | Series}
GetEconomicData tell me about {Resident Population in Wayne County | Series}
GetEconomicData tell me about {Currency in Circulation | Series}
GetEconomicData tell me about {Reserve Bank Credit | Series}
GetEconomicData tell me about {Treasury Deposits with Federal Reserve Banks | Series}
GetEconomicData tell me about {Per Capita Personal Income in New York Northern New Jersey Long Island | Series}
GetEconomicData tell me about {Per Capita Personal Income in Chicago Joliet Naperville | Series}
GetEconomicData tell me about {Per Capita Personal Income in Denver Aurora Broomfield | Series}
GetEconomicData tell me about {US Total Gross Domestic Product by State | Series}
GetEconomicData tell me about {Real Total Gross Domestic Product for California | Series}
GetEconomicData tell me about {Total Gross Domestic Product for Florida | Series}
GetEconomicData tell me about {State Government Tax Collections Property Taxes in the United States | Series}
GetEconomicData tell me about {State Government Tax Collections Total Taxes in the United States | Series}
GetEconomicData tell me about {State Government Tax Collections Individual Income Taxes in the United States | Series}
GetEconomicData tell me about {Homeownership Rate for the United States | Series}
GetEconomicData tell me about {Homeownership Rate for California | Series}
GetEconomicData tell me about {Rental Vacancy Rate for the United States | Series}
GetEconomicData tell me about {NMI Composite Index | Series}
GetEconomicData tell me about {Business Activity Index | Series}
GetEconomicData tell me about {Employment Index | Series}
GetEconomicData tell me about {Per Capita Personal Income in California | Series}
GetEconomicData tell me about {Per Capita Personal Income in Texas | Series}
GetEconomicData tell me about {Per Capita Personal Income in New York | Series}
GetEconomicData tell me about {All Transactions House Price Index for the United States | Series}
GetEconomicData tell me about {Purchase Only House Price Index for the United States | Series}
GetEconomicData tell me about {All Transactions House Price Index for California | Series}
GetEconomicData tell me about {Per Capita Personal Income in San Francisco Count | Series}
GetEconomicData tell me about {Per Capita Personal Income in Wayne County | Series}
GetEconomicData tell me about {E Commerce Retail Sales as a Percent of Total Sales | Series}
GetEconomicData tell me about {E Commerce Retail Sales | Series}
GetEconomicData tell me about {Four Week Moving Average of Initial Claims | Series}
GetEconomicData tell me about {Initial Claims | Series}
GetEconomicData tell me about {Continued Claims Insured Unemployment | Series}
GetEconomicData tell me about {US Regular All Formulations Gas Price | Series}
GetEconomicData tell me about {US Regular Conventional Gas Price | Series}
GetEconomicData tell me about {Interest Rate on Excess Reserves | Series}
GetEconomicData tell me about {Interest Rate on Required Reserves | Series}
GetEconomicData tell me about {US Euro Foreign Exchange Rate | Series}
GetEconomicData tell me about {Japan US Foreign Exchange Rate | Series}
GetEconomicData tell me about {China US Foreign Exchange Rate | Series}
GetEconomicData tell me about {St Louis Fed Financial Stress Index | Series}
GetEconomicData tell me about {Import All commodities | Series}
GetEconomicData tell me about {Export All commodities | Series}
GetEconomicData tell me about {S and P Five Hundred | Series}
GetEconomicData tell me about {Thrity Year Fixed Rate Mortgage | Series}
GetEconomicData tell me about {Fifteen Year Fixed Rate Mortgage | Series}
GetEconomicData tell me about {Five One Year Adjustable Rate Mortgage  | Series}
GetEconomicData tell me about {Job Openings Total Nonfarm | Series}
GetEconomicData tell me about {Quits Total Nonfarm | Series}
GetEconomicData tell me about {Hires Total Nonfarm | Series}
GetEconomicData tell me about {Velocity of M Two Money Stock | Series}
GetEconomicData tell me about {Velocity of M One Money Stock | Series}
GetEconomicData tell me about {Velocity of MZM Money Stock | Series}
GetEconomicData tell me about {Total Nonfarm Private Payroll Employment | Series}
GetEconomicData tell me about {Nonfarm Private Manufacturing Payroll Employment | Series}
GetEconomicData tell me about {Nonfarm Private Small Payroll Employment | Series}
GetEconomicData tell me about {Wilshire Five Thousand Total Market Full Cap Index | Series}
GetEconomicData tell me about {Wilshire Five Thousand Full Cap Price Index | Series}
GetEconomicData tell me about {Wilshire Five Thousand Total Market Index | Series}
GetEconomicData tell me about {Dow Jones Industrial Average | Series}
GetEconomicData tell me about {Dow Jones Composite Average | Series}
GetEconomicData tell me about {Dow Jones Transportation Average | Series}
GetEconomicData tell me about {Kansas City Financial Stress Index | Series}
GetEconomicData tell me about {S and P Case Shiller Twenty City Composite Home Price Index | Series}
GetEconomicData tell me about {S and P Case Shiller US National Home Price Index | Series}
GetEconomicData tell me about {S and P Case Shiller San Francisco Home Price Index | Series}
GetEconomicData tell me about {CBOE Volatility Index | Series}
GetEconomicData tell me about {CBOE Gold ETF Volatility Index | Series}
GetEconomicData tell me about {CBOE Crude Oil ETF Volatility Index | Series}
GetEconomicData tell me about {Working Age Population | Series}
GetEconomicData tell me about {Gross Domestic Product in Germany | Series}
GetEconomicData tell me about {Gross Domestic Product in Canada | Series}
GetEconomicData tell me about {Gross Domestic Product in Japan | Series}
GetEconomicData tell me about {Leading Index for the United States | Series}
GetEconomicData tell me about {Leading Index for California | Series}
GetEconomicData tell me about {Leading Index for Texas | Series}
GetEconomicData tell me about {US High Yield Option Adjusted Spread | Series}
GetEconomicData tell me about {US High Yield Effective Yield | Series}
GetEconomicData tell me about {US Corporate BBB Option Adjusted Spread | Series}
GetEconomicData tell me about {Crude Oil Prices | Series}
GetEconomicData tell me about {Weighted Average Effective Loan Rate | Series}
GetEconomicData tell me about {Total Value of Loans for All Commercial Loans | Series}
GetEconomicData tell me about {Average Loan Size for All Commercial and Industry Loans | Series}
GetEconomicData tell me about {Chicago Fed National Activity Index | Series}
GetEconomicData tell me about {Chicago Fed National Activity Index Three Month Moving Average | Series}
GetEconomicData tell me about {Chicago Fed National Activity Index Diffusion Index | Series}
GetEconomicData tell me about {Chicago Fed National Financial Conditions Index | Series}
GetEconomicData tell me about {Chicago Fed National Financial Conditions Index Nonfinancial Leveral Subindex | Series}
GetEconomicData tell me about {Chicago Fed National Financial Conditions Credit Subindex | Series}
GetEconomicData tell me about {Median Sales Price of Houses Sold | Series}
GetEconomicData tell me about {Average Sales Price of Houses Sold | Series}
GetEconomicData tell me about {New Houses Sold by Sales Price | Series}
GetEconomicData tell me about {New Privately Owned Housing Starts | Series}
GetEconomicData tell me about {Total Construction Spending | Series}
GetEconomicData tell me about {Total Construction Spending Nonresidential | Series}
GetEconomicData tell me about {Total Private Construction Spending Residential | Series}
GetEconomicData tell me about {Delinquency Rate on Single Family Residential Mortgages | Series}
GetEconomicData tell me about {Delinquency Rate on Credit Card Loans All Commercial Banks | Series}
GetEconomicData tell me about {Inflation consumer prices for the United States | Series}
GetEconomicData tell me about {Gross Domestic Product for China | Series}
GetEconomicData tell me about {GINI Index for the United States | Series}
GetEconomicData tell me about {Housing Affordability Index | Series}
GetEconomicData tell me about {Housing Affordability Index Fixed | Series}
GetEconomicData tell me about {Household Debt to GDP | Series}
GetEconomicData tell me about {Commercial Real Estate Prices | Series}
GetEconomicData tell me about {Total Debt to Equity | Series}
GetEconomicData tell me about {Interest Rates Discount Rate | Series}
GetEconomicData tell me about {General government gross debt for Japan | Series}
GetEconomicData tell me about {General government gross debt for China | Series}
GetEconomicData tell me about {General government gross debt for United States | Series}
GetEconomicData tell me about {NBER based Recession Indicators | Series}
GetEconomicData tell me about {OECD based Recession Indicators | Series}
GetEconomicData tell me about {Real Trade Weighted US Dollar Index | Series}
GetEconomicData tell me about {Real Median Household Income | Series}
GetEconomicData tell me about {Real Median Family Income | Series}
GetEconomicData tell me about {Median Household Income | Series}
GetEconomicData tell me about {One Month London Interbank Offered Rate | Series}
GetEconomicData tell me about {Three Month London Interbank Offered Rate | Series}
GetEconomicData tell me about {Twelve Month London Interbank Offered Rate | Series}
GetEconomicData tell me about {LIBOR | Series}
GetEconomicData tell me about {Vehicle Miles Traveled | Series}
GetEconomicData tell me about {Unemployment Rate for United States | Series}
GetEconomicData tell me about {Unemployment Rate | Series}
GetEconomicData tell me about {Dow Jones Industrial Stock Price Index for United States | Series}
GetEconomicData tell me about {Price Level of Consumption for United States | Series}
GetEconomicData tell me about {Purchasing Power Parity | Series}
GetEconomicData tell me about {Exchange Rate to US Dollar for Argentina | Series}
GetEconomicData tell me about {US Recession Probabilities | Series}
GetEconomicData tell me about {Gross Domestic Product for United Kingdom | Series}
GetEconomicData tell me about {Real Gross Domestic Product for Greece | Series}
GetEconomicData tell me about {Gross Domestic Product for United Kingdom | Series}
GetEconomicData tell me about {Gross Domestic Product for Japan | Series}
GetEconomicData tell me about {Central Bank Assets for Euro Area | Series}
GetEconomicData tell me about {LoDI National Index | Series}
GetEconomicData tell me about {Stock Market Capitalization to GDP for United States | Series}
GetEconomicData tell me about {Stock Market Capitalization to GDP for World | Series}
GetEconomicData tell me about {Gross Domestic Product for World | Series}
GetEconomicData tell me about {Equity Market related Economic Uncertainty Index | Series}
GetEconomicData tell me about {Economic Policy Uncertainty Index for United States | Series}
GetEconomicData tell me about {Excess Reserves of Depository Institutions | Series}
GetEconomicData tell me about {Russell Two Thousand Price Index | Series}
GetEconomicData tell me about {Russell Three Thousand Total Market Index | Series}
GetEconomicData tell me about {Russell Three Thousand Price Index | Series}
GetEconomicData tell me about {Capital Stock at Constant National Prices for United States | Series}
GetEconomicData tell me about {Total Factor Productivity at Constant National Prices for United States | Series}
GetEconomicData tell me about {Real GDP at Constant National Prices for China | Series}
GetEconomicData tell me about {Nikkei Stock Average | Series}
GetEconomicData tell me about {Total Revenue for Real Estate and Rental and Leasing Establishments Subject to Federal Income Tax | Series}
GetEconomicData tell me about {Revenues from Business for Engineering Services Establishments Subject to Federal Income Tax | Series}
GetEconomicData tell me about {Existing Home Sales | Series}
GetEconomicData tell me about {Median Sales Price of Existing Homes | Series}
GetEconomicData tell me about {Existing Home Sales Housing Inventory | Series}
GetEconomicData tell me about {Chicago Fed Midwest Manufacturing Index | Series}
GetEconomicData tell me about {Relative Price of Investment Goods | Series}
GetEconomicData tell me about {Real Investment | Series}
GetEconomicData tell me about {Investment Deflator | Series}
GetEconomicData tell me about {Homeownership Rate for the United States | Series}
GetEconomicData tell me about {Housing Inventory Estimate | Series}
GetEconomicData tell me about {Rental Vacancy Rate for the United States | Series}
GetEconomicData tell me about {TED Spread | Series}
GetEconomicData tell me about {Ten Year Breakeven Inflation Rate | Series}
GetEconomicData tell me about {Swiss Monetary Base Aggregate | Series}
GetEconomicData tell me about {Loan To Value Ratio Used Car Loans | Series}
GetEconomicData tell me about {Loan To Value Ratio New Car Loans | Series}
GetEconomicData I would like to know about {Retail Sales Excluding Food Services | Series}
GetEconomicData I would like to know about {Retail and Food Services Sales | Series}
GetEconomicData I would like to know about {Retail Sales and Food Services Excluding Motor Vehicles and Parts Dealers | Series}
GetEconomicData I would like to know about {Consumer Price Index | Series}
GetEconomicData I would like to know about {Consumer Price Index Less Food and Energy | Series}
GetEconomicData I would like to know about {Employment Cost Index | Series}
GetEconomicData I would like to know about {Industrial Production Index | Series}
GetEconomicData I would like to know about {Capacity Utilization | Series}
GetEconomicData I would like to know about {Industrial Production Manufacturing | Series}
GetEconomicData I would like to know about {Total Consumer Credit Outstanding | Series}
GetEconomicData I would like to know about {Student Loans Outstanding | Series}
GetEconomicData I would like to know about {Finance Rate on Consumer Installment Loans | Series}
GetEconomicData I would like to know about {Japan US Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {Canada US Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {US Euro Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {Trade Weighted US Dollar Index | Series}
GetEconomicData I would like to know about {US Euro Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {Japan US Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {Effective Federal Funds Rate | Series}
GetEconomicData I would like to know about {Ten Year Treasury Constant Maturity Rate | Series}
GetEconomicData I would like to know about {Three Month Treasury Bill Secondary Market Rate | Series}
GetEconomicData I would like to know about {Monetary Base | Series}
GetEconomicData I would like to know about {All Federal Reserve Banks Total Assets | Series}
GetEconomicData I would like to know about {US Treasury securities held by the Federal Reserve | Series}
GetEconomicData I would like to know about {Reserve Balances with Federal Reserve Banks | Series}
GetEconomicData I would like to know about {M Two Money Stock | Series}
GetEconomicData I would like to know about {M One Money Stock | Series}
GetEconomicData I would like to know about {Commercial and Industrial Loans | Series}
GetEconomicData I would like to know about {Loans and Leases in Bank Credit | Series}
GetEconomicData I would like to know about {Total Assets All Commercial Banks | Series}
GetEconomicData I would like to know about {Total Business Inventories to Sales Ratio | Series}
GetEconomicData I would like to know about {Total Business Sales | Series}
GetEconomicData I would like to know about {ISM Manufacturing PMI Composite Index | Series}
GetEconomicData I would like to know about {ISM Manufacturing New Orders Index | Series}
GetEconomicData I would like to know about {ISM Manufacturing Employment Index | Series}
GetEconomicData I would like to know about {Housing Starts Total New Privately Owned Housing Units Started | Series}
GetEconomicData I would like to know about {New Private Housing Units Authorized by Building Permits | Series}
GetEconomicData I would like to know about {Housing Starts Total New Privately Owned | Series}
GetEconomicData I would like to know about {Producer Price Index for All Commodities | Series}
GetEconomicData I would like to know about {Manufacturing Sector Real Output | Series}
GetEconomicData I would like to know about {Nonfarm Business Sector Real Output Per Hour of All Persons | Series}
GetEconomicData I would like to know about {Nonfarm Business Sector Real Compensation Per Hour | Series}
GetEconomicData I would like to know about {Balance on current account | Series}
GetEconomicData I would like to know about {Civilian Unemployment Rate | Series}
GetEconomicData I would like to know about {Total Nonfarm Payrolls | Series}
GetEconomicData I would like to know about {Civilian Labor Force Participation Rate | Series}
GetEconomicData I would like to know about {US Exports of Goods to Japan | Series}
GetEconomicData I would like to know about {US Imports of Goods from Japan | Series}
GetEconomicData I would like to know about {Trade Balance Goods and Services | Series}
GetEconomicData I would like to know about {All Sectors Debt Securities and Loans | Series}
GetEconomicData I would like to know about {Nonfinancial corporate business debt securities | Series}
GetEconomicData I would like to know about {Federal government consumer credit student loans | Series}
GetEconomicData I would like to know about {Real Gross Domestic Product | Series}
GetEconomicData I would like to know about {Gross Domestic Product | Series}
GetEconomicData I would like to know about {Personal Saving Rate | Series}
GetEconomicData I would like to know about {Personal Consumption Expenditures | Series}
GetEconomicData I would like to know about {Net Interest Margin for all US Banks | Series}
GetEconomicData I would like to know about {Commercial Banks in the US | Series}
GetEconomicData I would like to know about {Return on Average Assets for all US Banks | Series}
GetEconomicData I would like to know about {Total Population All Ages including Armed Forces Overseas | Series}
GetEconomicData I would like to know about {National Population | Series}
GetEconomicData I would like to know about {MZM Money Stock | Series}
GetEconomicData I would like to know about {MZM Own Rate | Series}
GetEconomicData I would like to know about {MZM Money Stock | Series}
GetEconomicData I would like to know about {Monetary Services Index M Two | Series}
GetEconomicData I would like to know about {Monetary Services Index M One | Series}
GetEconomicData I would like to know about {M Two Plus Institutional Type Money Market Mutual Funds | Series}
GetEconomicData I would like to know about {M Two Less Small Time Deposits | Series}
GetEconomicData I would like to know about {M Two Minus Own Rate | Series}
GetEconomicData I would like to know about {M Two Less Small Time Deposits | Series}
GetEconomicData I would like to know about {St Louis Adjusted Monetary Base | Series}
GetEconomicData I would like to know about {St Louis Adjusted Reserves | Series}
GetEconomicData I would like to know about {M One Money Multiplier | Series}
GetEconomicData I would like to know about {Reserve Adjustment Magnitude | Series}
GetEconomicData I would like to know about {RAM | Series}
GetEconomicData I would like to know about {Total Public Debt | Series}
GetEconomicData I would like to know about {Federal Debt Held by Federal Reserve Banks | Series}
GetEconomicData I would like to know about {Federal Debt Held by the Public | Series}
GetEconomicData I would like to know about {Federal Surplus | Series}
GetEconomicData I would like to know about {Federal Deficit | Series}
GetEconomicData I would like to know about {Gross Domestic Product | Series}
GetEconomicData I would like to know about {Federal Outlays Interest | Series}
GetEconomicData I would like to know about {Gross Federal Debt | Series}
GetEconomicData I would like to know about {Gross Federal Debt Held by the Public | Series}
GetEconomicData I would like to know about {Commercial Paper Outstanding | Series}
GetEconomicData I would like to know about {Asset backed Commercial Paper Outstanding | Series}
GetEconomicData I would like to know about {Ninety Day AA Nonfinancial Commercial Paper Interest Rate | Series}
GetEconomicData I would like to know about {Household Debt Service Payments as a Percent of Disposable Personal Income | Series}
GetEconomicData I would like to know about {Consumer Debt Service Payments as a Percent of Disposable Personal Income | Series}
GetEconomicData I would like to know about {Consumer Sentiment | Series}
GetEconomicData I would like to know about {Inflation Expectation | Series}
GetEconomicData I would like to know about {Real Retail and Food Services Sales | Series}
GetEconomicData I would like to know about {Light Weight Vehicle Sales | Series}
GetEconomicData I would like to know about {Total Vehicle Sales | Series}
GetEconomicData I would like to know about {Auto Inventory Sales Ratio | Series}
GetEconomicData I would like to know about {Manufacturers New Orders Durable Goods | Series}
GetEconomicData I would like to know about {ManufacturerS New Orders Nondefense Capital | Series}
GetEconomicData I would like to know about {Value of Manufacturers' New Orders for All Manufacturing Industries | Series}
GetEconomicData I would like to know about {Median Sales Price for New Houses Sold in the United States | Series}
GetEconomicData I would like to know about {Monthly Supply of Houses in the United States | Series}
GetEconomicData I would like to know about {New One Family Houses Sold United States | Series}
GetEconomicData I would like to know about {Real Potential Gross Domestic Product | Series}
GetEconomicData I would like to know about {Natural Rate of Unemployment | Series}
GetEconomicData I would like to know about {Nominal Potential Gross Domestic Product | Series}
GetEconomicData I would like to know about {Eighth District Flexible Rate on Seasonal Credit | Series}
GetEconomicData I would like to know about {Federal Funds Target Range Upper Limit | Series}
GetEconomicData I would like to know about {Federal Funds Target Range Lower Limit | Series}
GetEconomicData I would like to know about {Primary Credit Rate for the Eighth District | Series}
GetEconomicData I would like to know about {St Louis Source Base | Series}
GetEconomicData I would like to know about {M Two Own Rate | Series}
GetEconomicData I would like to know about {Manufacturing Sector Multifactor Productivity | Series}
GetEconomicData I would like to know about {Private Non Farm Business Sector Multifactor Productivity | Series}
GetEconomicData I would like to know about {Private Business Sector Multifactor Productivity | Series}
GetEconomicData I would like to know about {Coincident Economic Activity Index for the United States | Series}
GetEconomicData I would like to know about {Coincident Economic Activity Index for California | Series}
GetEconomicData I would like to know about {Coincident Economic Activity Index for Wisconsin | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in Tennessee | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in Mississippi | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in Kentucky | Series}
GetEconomicData I would like to know about {Resident Population in Louisville Jefferson County | Series}
GetEconomicData I would like to know about {Resident Population in St Louis | Series}
GetEconomicData I would like to know about {Resident Population in Texarkana | Series}
GetEconomicData I would like to know about {Unemployment Rate in California | Series}
GetEconomicData I would like to know about {Unemployment Rate in Florida | Series}
GetEconomicData I would like to know about {Unemployment Rate in Texas | Series}
GetEconomicData I would like to know about {Unemployment Rate in Seattle Tacoma Bellevue | Series}
GetEconomicData I would like to know about {Unemployment Rate in Houston The Woodlands Sugar Land | Series}
GetEconomicData I would like to know about {Unemployment Rate in Chicago Naperville Elgin | Series}
GetEconomicData I would like to know about {Unemployment Rate in Los Angeles County | Series}
GetEconomicData I would like to know about {Unemployment Rate in San Francisco County | Series}
GetEconomicData I would like to know about {Unemployment Rate in Miami Dade County | Series}
GetEconomicData I would like to know about {Resident Population in the Southwest | Series}
GetEconomicData I would like to know about {Resident Population in the Rocky Mountain | Series}
GetEconomicData I would like to know about {Resident Population in the New England Census Division | Series}
GetEconomicData I would like to know about {Resident Population in Los Angeles County | Series}
GetEconomicData I would like to know about {Resident Population in San Francisco County | Series}
GetEconomicData I would like to know about {Resident Population in Wayne County | Series}
GetEconomicData I would like to know about {Currency in Circulation | Series}
GetEconomicData I would like to know about {Reserve Bank Credit | Series}
GetEconomicData I would like to know about {Treasury Deposits with Federal Reserve Banks | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in New York Northern New Jersey Long Island | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in Chicago Joliet Naperville | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in Denver Aurora Broomfield | Series}
GetEconomicData I would like to know about {US Total Gross Domestic Product by State | Series}
GetEconomicData I would like to know about {Real Total Gross Domestic Product for California | Series}
GetEconomicData I would like to know about {Total Gross Domestic Product for Florida | Series}
GetEconomicData I would like to know about {State Government Tax Collections Property Taxes in the United States | Series}
GetEconomicData I would like to know about {State Government Tax Collections Total Taxes in the United States | Series}
GetEconomicData I would like to know about {State Government Tax Collections Individual Income Taxes in the United States | Series}
GetEconomicData I would like to know about {Homeownership Rate for the United States | Series}
GetEconomicData I would like to know about {Homeownership Rate for California | Series}
GetEconomicData I would like to know about {Rental Vacancy Rate for the United States | Series}
GetEconomicData I would like to know about {NMI Composite Index | Series}
GetEconomicData I would like to know about {Business Activity Index | Series}
GetEconomicData I would like to know about {Employment Index | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in California | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in Texas | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in New York | Series}
GetEconomicData I would like to know about {All Transactions House Price Index for the United States | Series}
GetEconomicData I would like to know about {Purchase Only House Price Index for the United States | Series}
GetEconomicData I would like to know about {All Transactions House Price Index for California | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in San Francisco Count | Series}
GetEconomicData I would like to know about {Per Capita Personal Income in Wayne County | Series}
GetEconomicData I would like to know about {E Commerce Retail Sales as a Percent of Total Sales | Series}
GetEconomicData I would like to know about {E Commerce Retail Sales | Series}
GetEconomicData I would like to know about {Four Week Moving Average of Initial Claims | Series}
GetEconomicData I would like to know about {Initial Claims | Series}
GetEconomicData I would like to know about {Continued Claims Insured Unemployment | Series}
GetEconomicData I would like to know about {US Regular All Formulations Gas Price | Series}
GetEconomicData I would like to know about {US Regular Conventional Gas Price | Series}
GetEconomicData I would like to know about {Interest Rate on Excess Reserves | Series}
GetEconomicData I would like to know about {Interest Rate on Required Reserves | Series}
GetEconomicData I would like to know about {US Euro Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {Japan US Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {China US Foreign Exchange Rate | Series}
GetEconomicData I would like to know about {St Louis Fed Financial Stress Index | Series}
GetEconomicData I would like to know about {Import All commodities | Series}
GetEconomicData I would like to know about {Export All commodities | Series}
GetEconomicData I would like to know about {S and P Five Hundred | Series}
GetEconomicData I would like to know about {Thrity Year Fixed Rate Mortgage | Series}
GetEconomicData I would like to know about {Fifteen Year Fixed Rate Mortgage | Series}
GetEconomicData I would like to know about {Five One Year Adjustable Rate Mortgage  | Series}
GetEconomicData I would like to know about {Job Openings Total Nonfarm | Series}
GetEconomicData I would like to know about {Quits Total Nonfarm | Series}
GetEconomicData I would like to know about {Hires Total Nonfarm | Series}
GetEconomicData I would like to know about {Velocity of M Two Money Stock | Series}
GetEconomicData I would like to know about {Velocity of M One Money Stock | Series}
GetEconomicData I would like to know about {Velocity of MZM Money Stock | Series}
GetEconomicData I would like to know about {Total Nonfarm Private Payroll Employment | Series}
GetEconomicData I would like to know about {Nonfarm Private Manufacturing Payroll Employment | Series}
